date,IGAE,ActividadIndustrial,FBCF
1998-02-01,68.0368531052,79.4663674578,65.2274693668
1998-03-01,68.5969584809,79.9635603523,66.200796014
1998-04-01,68.5924667225,79.6363665672,64.3720916498
1998-05-01,68.500945773,79.9695155649,66.8632921514
1998-06-01,68.1525737053,79.0426377744,64.1932103072
1998-07-01,68.6275792606,79.2203606083,65.2007430723
1998-08-01,68.8953224499,79.6928188526,64.8343241428
1998-09-01,68.6114410785,79.5248464159,66.2952712471
1998-10-01,68.5247607237,79.6963761534,65.5412273263
1998-11-01,68.6491891078,79.6644430188,64.2381736368
1998-12-01,69.0233827057,80.3732559619,65.1952809633
1999-01-01,69.5404231853,80.3213105569,67.2376199994
1999-02-01,69.4436842314,80.4900019228,67.468104558
1999-03-01,69.68014519,80.6276814194,68.3156260356
1999-04-01,69.8381696425,81.3377502529,67.5172107033
1999-05-01,70.1084797238,80.6291967456,67.3720861337
1999-06-01,69.8055224133,80.2759385201,68.0306416918
1999-07-01,70.347283103,80.4427493616,66.5263447145
1999-08-01,70.2553731755,80.6825492091,67.3526926372
1999-09-01,70.9174780026,81.566607319,67.1429751885
1999-10-01,70.8136361471,81.0463214972,67.7700447426
1999-11-01,71.0010524584,81.7379024526,68.5213195267
1999-12-01,71.666512979,82.2676475221,70.00253706
2000-01-01,73.6354365122,83.5093541632,70.5364088851
2000-02-01,73.1835529871,84.7479176485,70.7484036618
2000-03-01,73.0976067602,85.202723295,70.1000515876
2000-04-01,73.2437354419,84.7203707025,72.2168317738
2000-05-01,73.8035899966,85.3414779398,71.7254054442
2000-06-01,74.349105772,86.0985120484,71.7649824998
2000-07-01,74.7638692964,86.825024256,71.9740923453
2000-08-01,74.3495302059,85.8469124926,72.2387130656
2000-09-01,74.334399875,85.4429904204,70.9688133938
2000-10-01,74.4091841887,85.2917781615,71.8331098745
2000-11-01,74.172891623,84.360664401,70.6043951197
2000-12-01,73.4954359434,82.3143941606,68.5169467062
2001-01-01,74.1785040772,85.0351315869,67.764805265
2001-02-01,73.5751962957,84.3849813298,67.1134538484
2001-03-01,73.4274783551,83.3441014369,66.9003904401
2001-04-01,73.2685415084,82.5828080446,65.5566796234
2001-05-01,73.1747190145,83.1577562253,65.0865261457
2001-06-01,73.2430813031,82.9376035566,65.5556396507
2001-07-01,73.1188017371,82.9544383812,67.0670637968
2001-08-01,73.503542838,82.9236362762,66.6660536443
2001-09-01,73.4101134809,83.2263313608,66.8131973213
2001-10-01,72.5849788803,81.5966099077,64.8580306871
2001-11-01,72.8725152385,82.3191145917,65.893578812
2001-12-01,72.7113194048,81.7457637352,66.3026737617
2002-01-01,71.8325039311,80.9764077435,64.5159467778
2002-02-01,71.7570416249,79.3134091923,63.9979609852
2002-03-01,72.3610219772,80.2171156275,62.3872706106
2002-04-01,72.9253269901,81.6384277178,63.5818713999
2002-05-01,72.9690093823,81.0191873273,64.6205574157
2002-06-01,72.9112077734,81.2218347433,64.0221795127
2002-07-01,73.1974805002,81.4307539957,64.8392935922
2002-08-01,73.792435119,82.3740658394,65.0036804399
2002-09-01,73.6089576811,82.3369178003,66.3142512895
2002-10-01,73.9629009058,83.2610422494,65.9388008959
2002-11-01,73.5166958297,83.2950693222,66.781613339
2002-12-01,73.5633905406,82.4624640024,65.9622915469
