fecha,AGREGADO,Agencias de Viajes,Agregadores,Aseguradoras,Beneficencia,Colegios y Universidades,Comida Rápida,Educación Básica,Entretenimiento,Estacionamientos,Farmacias,Gasolineras,Gobierno,Grandes superficies,Guarderías,Hospitales,Hoteles,Misceláneos,Médicos y dentistas,No definido,Otros,Peaje,Refacciones y ferretería,Renta de Autos,Restaurantes,Salones de belleza,Supermercados,Telecomunicaciones,Transporte Aéreo,Transporte Terrestre de Pasajeros,Ventas al detalle (Retail)
2012-09-05,19.055485563544785,8.2211841013213,-0.7518203790128997,9.614786265961623,15.53690226135456,15.83018037016034,17.31286640275881,12.522301159440186,1.1445912324413468,-31.27096544479317,15.37317035092195,24.38837183464572,25.330663575337535,27.08146752755267,29.228255027667426,5.043025428149628,6.625709890955392,30.891059089169282,18.51341564112539,16.745177106195023,16.1563635157871,16.3162991009525,17.04251854318415,21.124626704692197,9.067452953538245,8.945435215430024,-0.6744684752234187,25.082250318875715,4.9948791201066625,10.408875111919203,13.638652929601255
2012-09-06,21.981655673593796,8.468657510944585,8.800249728691249,8.803056399565328,15.243373489287485,29.245733342165224,17.971047131117988,19.363048601405605,12.012695611605977,-22.561571507760732,17.29820624486073,25.38126727866279,34.569330074186574,30.522161194370867,50.80330479953552,6.609203179132976,10.368971300226065,35.84201913980685,18.147893313485575,37.107531678774016,23.366139316687754,18.209377010596704,17.722063559649825,24.14856831155887,8.88716835943746,10.662741799071666,4.3369400193180825,20.823033231159457,6.3098535556240565,10.666649569625681,14.800547404469247
2012-09-07,22.965258366868987,12.323144885562682,18.908749051504874,13.134076719689745,16.354736319732872,30.86223493542088,20.82287774718779,20.647007437408078,24.248082030246213,-12.02707006132308,21.03945819781914,28.767823909673044,32.712428550168575,29.16019480986835,61.360594906346996,10.978009921620048,13.973116296177896,39.77638930445262,21.187711984659316,50.4206093455219,23.64431750062524,11.766435459076606,19.678081469872303,22.05215954713421,12.50530878424348,15.13722602991142,7.495332046799069,19.052272467795376,11.992349948015375,12.496311867518283,16.051668946521165
2012-09-08,20.97650863724409,14.992764342776201,15.066564528573428,7.42644106948534,13.027506788877671,24.157655731261034,20.859668164329864,16.00034572190391,24.291221308907268,-14.771262123317921,22.375995709709837,28.200127419335537,23.402051489949475,26.00227252678754,56.51462089657524,10.736816475138463,13.803226539318405,38.03874821908666,23.034660170774607,48.16775848318563,14.858218847187912,4.187701763247164,19.537180219457092,23.41634105901343,13.677663685986918,16.011798567110127,12.255248008875295,19.624142810404418,15.284736812393518,11.971027775059637,16.63742438397343
2012-09-09,19.761620972722405,14.287096232314164,16.157389025688023,7.682111359606671,13.845881198060198,23.88589288439041,21.732935142448152,14.77891909729824,17.079892772247415,-5.078051406486496,22.293099188573926,29.067548211009324,22.664424511921805,22.489805083391637,62.19245723650499,11.161745566407781,14.328052956138357,37.80779221260777,23.633497011907973,49.575818124475944,14.662348284534604,-2.667332017182453,21.06665149869813,22.423999646315597,15.610308072096402,17.859351469617273,14.752000077018732,19.970222891823948,15.982216978094666,12.469083889050347,17.329106144209007
2012-09-10,17.028136591922976,15.147022273929903,16.646782659707597,8.55336020283281,14.023071370164875,25.42124802398154,22.07307219596709,17.91001382794785,14.94401268467705,-3.1334519151959705,22.447735966610548,29.232975670858597,20.844553090318637,14.246669169296636,63.023716569718026,11.188014302872135,17.888991846807187,37.212638666568125,23.595462068864894,35.50324484826143,16.82490311526109,8.66041509801231,21.193419703992422,25.58134454127358,15.93991767772419,16.746028898541894,14.926156137593743,17.303229946019954,18.316434580106968,10.696709031537312,17.126555772151942
2012-09-11,15.744024765546616,11.229965233155339,12.094218913325795,6.42960043005249,8.048861995400847,27.566235737860506,20.97100132649343,32.196972575551975,7.482693963731917,0.8598701382468953,20.927002363990997,28.015040425620075,21.289848243925704,12.057327401006846,61.48948012106015,10.55330539483942,20.581786051369892,34.58222762405353,23.455272301150625,32.8451602537912,18.97271416800592,0.2606204015947701,20.28579034593804,24.907044422677107,15.059075434814986,15.43975882788651,17.64821862775909,13.97163381310776,17.814360608119006,5.448400554909302,15.562830339065552
2012-09-12,14.813899314569689,11.467679180022849,15.196886723274403,5.581485481286436,9.887481415772042,23.48817928689176,22.00898069984544,34.53939127919634,10.250068535066042,-0.8818631982321449,21.03726127669078,27.732335904864353,19.458322376721235,10.719643221845601,53.71113799772254,11.182379527325269,18.073225006114395,31.442426790212142,22.87178100047479,37.64794704937427,18.16799417725244,1.125175878679324,20.757786637887076,23.28276098697845,14.57937768064655,13.374466834701304,10.253367458685856,6.613921412707721,20.575108179467005,1.1174718760115032,15.343376609467155
2012-09-13,13.006103106654496,11.844569713490992,-0.7107198718108996,2.8135741611413336,3.561162959776037,14.772398941006584,22.60816973179954,32.436342529096976,13.069271646629948,-10.174306099281564,20.07650431522267,27.651578988490723,21.25013188316867,7.98241905613538,33.486557958744044,10.36384120707729,14.287109662276102,27.602474769339675,24.55800653545249,33.71044647217804,20.49626200707024,3.0668802892792137,21.059944934175512,20.327014478147312,14.464911332051475,12.2107594343287,3.405037993171462,5.39743322732433,22.05462477592759,-4.080673379058275,13.817973591833798
2012-09-14,13.420799357836335,13.820148369702084,-12.467044341533432,6.683823117656463,6.983426344832694,18.422593425454036,23.908435891415046,37.63905761996015,12.439572591489394,-9.168616115617944,19.20237059514171,28.92471757642739,26.99137311195533,5.474384289271925,25.647696497541126,12.851851101046039,9.235312076450706,24.089621492414363,30.178423837516583,29.503878499566177,24.102873216644603,-0.42134114208194695,23.559520032066967,21.924546253836475,15.002264256895623,14.344586666751013,10.460179193544098,18.428768051422967,25.75266342210614,-5.568550915592383,15.579305249787575
2012-09-15,16.921003680085274,22.55166490902088,9.7654367080176,24.837954267205227,31.035191205840878,39.16832611172411,26.851125986214935,61.33526310750519,14.170660163235729,11.352885201862257,22.773221600358852,34.30697490898454,46.09268990315698,4.2846748555306196,42.18885077438878,19.03001339362705,9.538263861559237,29.92875835324897,39.34736008401681,38.45642702877489,34.04641836778022,12.21382954076588,32.453913283512044,27.05066776553297,15.288158454903005,24.55051578533215,23.948470118721414,24.031666223540785,33.21905022847795,-3.3692153906886193,19.859965833349438
2012-09-16,19.092513373658463,23.992884267817104,12.20817530343452,25.151763624121333,34.66827718330608,43.64902766998226,28.21182183605072,64.81045923613642,8.892628984733971,15.49322191137186,26.25260348377138,37.15316895423278,47.07035711258232,8.637325650301067,39.105995248418274,22.483838141299685,12.012798037478337,33.23231519977745,41.68296333273495,38.55354152197757,35.6318619856067,16.530965952218747,32.909580413512764,26.239107917990527,16.954627796927536,28.03906395309771,22.900370450157105,19.238679297859946,34.569298494173474,-1.295371578007799,20.8602774136667
2012-09-17,18.749798536062155,23.723393392204517,13.064065885912415,24.12014181729344,34.932218550145194,39.14826446776851,28.299118871248208,61.48363946349155,-2.4432184850634098,12.597520997732797,26.873109853248668,36.50045622400359,46.59475622128255,9.703354467846053,33.45894820489047,24.250696211635574,7.646276742758845,34.08581005463617,39.5288829072238,34.78044406456185,33.16264322686,11.755357828969396,33.123505850069016,18.654138542982682,16.724938156789996,27.60813269698177,23.13826700462159,21.189136437016792,34.040559439747284,-1.4421259405914872,20.63522746501809
2012-09-18,20.752928711941014,27.91764203645379,5.8694851355357125,21.23312870853377,38.91582236434963,30.098262710422052,31.24090982915136,34.41563901231532,20.889586435834435,4.712848566044648,27.942959727754435,37.04127160920196,43.427808965256,13.194983416173415,27.78016892158572,24.12101239231437,6.699649913569469,35.9423432975512,37.665512309448324,34.69420433537857,32.302182346304505,19.049740536005945,34.471830144642695,13.933043023119065,19.032446730861498,28.269869450994626,20.82896080844995,24.808708088995964,35.37648133038419,1.8570545146821846,22.71926743507574
2012-09-19,21.35496146853013,30.31131440658378,13.317820609043018,17.985403336092446,40.61177314540506,33.15045367761859,31.786380148107707,27.57764891899312,14.622394032999503,1.283107886236323,28.42851659912734,37.34861422735563,47.139841586363595,14.796337618374869,23.186203907724973,22.488233127874377,4.7627840322507025,38.76667759642863,37.98717599447526,28.997397385016367,32.72128569968202,20.34538111968726,34.44400432748615,14.228532341070114,19.544119245900692,29.524213360206414,27.137886826584744,28.5196900956241,33.73363397241715,5.7302721490502995,22.79406008282003
2012-09-20,23.354009406590688,29.7143629542807,22.078905938440823,21.739510477146737,31.87606343799932,44.746817927727136,30.8451600308559,32.25887509899641,10.56892525123742,7.703038759547151,29.46196473682059,37.67790680903031,49.12201309758261,18.058049269317056,43.44964177750425,22.559131772991243,4.121815879402455,41.417734052113246,36.93901088647335,28.604438793124494,32.104993196452924,20.411780492731467,33.917514601592494,16.964639184407506,19.886457937416925,30.16574222520873,35.57117160192572,33.63744819811157,30.981142232875687,10.86363685791771,24.223950552850354
2012-09-21,24.210779642323,27.899156877938562,29.401961020084755,18.968266789616628,18.32963342985588,43.61941253531677,29.99376781274631,35.26957815810488,11.47462979298376,7.772261108076934,29.900520546382577,36.688952150515085,43.70602969476201,21.54317315332957,49.03904632994817,19.449761973190363,8.287769359148573,45.0143909755194,31.6470612481764,30.63928262223318,29.972434410202357,25.872617704578932,31.3001368932711,17.573580477845837,19.539847069037396,27.087021142269897,24.555460604418784,30.1445841751686,26.00354407418909,14.596142399461835,23.940222510282407
2012-09-22,21.557395980836766,20.323438380846717,12.172395747652697,3.7795625890384716,1.2731755542805616,20.717009924208437,27.938689396508003,16.479944473453877,12.271721999938402,-7.33040860643189,26.121657810773936,31.80993390809745,30.427734059993217,23.63969414646129,33.74469351510457,12.942060447266071,10.959144719082243,38.26550028559598,22.02575405085473,18.197224306228478,22.752403611084347,23.84793473915566,22.50464890146305,13.27139556135525,20.04935926779051,16.546848956500053,15.17097101893703,24.536954669892566,18.122248932601345,13.206394323501245,20.197365148200106
2012-09-23,20.516726873034578,20.314633123698094,10.633596045452311,3.441224020258888,5.183093518577427,17.04456639092327,27.020688791105158,17.205162841367574,18.721119013102054,-13.226509734060077,23.724818548514296,29.415197589647292,29.701418235632605,21.059457253433134,36.21323804868724,9.020276422270395,10.609677396046918,35.200134327323084,20.77547396511498,15.070035150774382,22.51819338689661,19.62803313686412,21.864069324653524,14.576738662700524,18.551353314404697,12.772214393710971,17.617719064519477,27.51740711002074,17.06912150093541,11.221781578514628,20.857411645598688
2012-09-24,19.132056772865113,19.20496373429965,10.410934180740863,2.618656291658343,4.139032453940354,18.920056879216315,27.85437326244022,21.177527571287467,36.28502502841641,-16.738073691955258,23.1377197752646,29.869321238797585,30.461221608251744,16.126384273033995,45.67944016422359,7.86809154942555,14.620239949404464,34.83967748549021,22.54756359751992,19.00733072342095,23.072832043247935,25.753691653664458,22.129739077839783,20.397154449419975,18.695870524335533,13.634618992621906,22.109567412226472,30.600059620198678,16.62952033614595,13.442549787654354,19.48483047548794
